id,name,text,trans
0-chapter_name,,優しく悲しき者,
0-synopsis,,ゼタは酒場に集まった“組織”の仲間であるベアトリクスとユーステスに、バザラガの身に起きた出来事を話す。それを聞いたユーステスは「“組織”から渡された武器は各人それぞれ違うメカニズムを持っているはずだ」と語り、騎空艇へと向かう。そこでユーステス達が目の当たりにしたのは、バザラガを差し出せと見えない何かに扇動されたかのように興奮する騎士と傭兵の群れであった。,
3, ベアトリクス/贝阿朵丽丝, あ、いたいた！\nゼター！, 啊、找到了找到了！泽塔！
4, ゼタ/泽塔, ……ベア。, ......阿贝。
5, ベアトリクス/贝阿朵丽丝, お待たせ！\n……って、どうかしたのか？\n何か深刻そうな顔してるけど。,久等了！......嗯，发生了什么事吗？你看起来有点严肃啊。
6, ゼタ/泽塔, ねえベア、\nちょっと聞きたいんだけど……, 呐阿贝，我有件事想问问……
7, ゼタ/泽塔, 前にさ、そのエムブラスクの剣の\n形が変わったことがあったって\n言ってたわよね？, 之前说过，艾伯拉斯克剑形变过是吧？
8, ベアトリクス/贝阿朵丽丝, ああ……\nハロウィンの時のことか？, 啊啊……是万圣节的时候吗？
9, ゼタ/泽塔, そうそれ！\nその時、身体に何か\n変わったことはなかった？, 对对对！那个时候，身体有什么变化吗？
10, ベアトリクス/贝阿朵丽丝, 変わったことー？\n特に無かったけどなぁ……, 变化？嗯，好像没有什么特别的变化呢……
16, ユーステス/尤斯缇斯, ベアトリクス。, 贝阿朵丽丝。
17, ベアトリクス/贝阿朵丽丝, なんだよ。,怎么了。
18, , ユーステスは怪訝そうに、\nベアトリクスが持つ\nエムブラスクの剣を指差した。, 尤斯缇斯怀疑地指着贝阿朵丽丝手中的艾姆布拉斯克之剑。
19, ユーステス/尤斯缇斯, なんだそれは。,那是什么。
20, ベアトリクス/贝阿朵丽丝, みりゃわかるだろ？\nエムブラスクの剣だよ。,看了就知道了吧？这是艾姆布拉斯克之剑。
21, ユーステス/尤斯缇斯, ……色も形も違う。,……颜色和形状都不同。
22, ルリア/露莉亚, 確かに……\n前に見た時とずいぶん違いますね？,确实……和之前见到的时候完全不同呢？
23, ビィ/碧, 柄に妙なエンブレムまで\nついてるな……どうしたんだ？,柄上还贴了个奇怪的徽章……发生了什么？
24, ベアトリクス/贝阿朵丽丝, さぁ……？,谁知道呢？
25, ビィ/碧, さぁ……って、\nわかんねぇのかよ！,谁知道呢……等等，你不知道吗！
26, ベアトリクス/贝阿朵丽丝, なんか気が付いたら\n形が変わってたんだよ。,不知不觉中，剑的形状就变了。
27, ベアトリクス/贝阿朵丽丝, 私が着替えた頃ぐらいかな。\nふふん。任務への意気込みが\n剣にも伝わったんだろ。,大概是我换衣服的时候吧。嘿嘿，我对任务的热情传到了剑上吧。
28, ビィ/碧, つまり、お前がはしゃいだから、\n剣も一緒になって……\nはしゃいで形を変えたのか？,也就是说，你兴奋起来，剑也跟着……因为兴奋而改变了形状？
29, ベアトリクス/贝阿朵丽丝, んん？　ちがうぞ？\n私は別にはしゃいで\nなんかいないぞ！, 嗯嗯？不对吧？我并没有兴奋什么啊！
35, ゼタ/泽塔, 本当に？\n些細なことでもいいから、\n気が付いたことを教えて。,真的吗？就算是小事情也好，告诉我你有没有注意到什么。
36, ベアトリクス/贝阿朵丽丝, えー……本当に何も\nなかったんだけど……,嗯……我真的什么都没有注意到……
37, ベアトリクス/贝阿朵丽丝, しいて言えば、任務に対して\n気合入ってたってくらい……\nてか、何でそんなこと聞くんだ？,如果非要说的话，大概就是对任务投入了些精神……话说，你问这个干嘛？
38, ゼタ/泽塔, それは……,那个是因为……
39, ？？？, おい。,喂。
40, ベアトリクス/贝阿朵丽丝, ひゃあっ！？,啊！？
41, ユーステス/尤斯缇斯, …………,…………
42, ベアトリクス/贝阿朵丽丝, なんだ、ユーステスか！\n驚かせるなよなー,哎呀，尤斯缇斯啊！别吓我啊！
43, ユーステス/尤斯缇斯, 武器の話をしていたな。,刚才在谈论武器啊。
44, ゼタ/泽塔, ……そうだけど。,……嗯，对啊。
45, ユーステス/尤斯缇斯, 何かあったのか？,发生了什么吗？
46, ゼタ/泽塔, …………,…………
47, ベアトリクス/贝阿朵丽丝, ゼタ、私も聞きたい。\nいったい、どうしたんだよ？,泽塔，我也想知道。到底发生了什么？
48, ゼタ/泽塔, はあ……わかったわよ。\n説明する。,唉……好吧，我来解释。
52, ベアトリクス/贝阿朵丽丝, それじゃあ、バザラガの奴、\nぶっ倒れてまだ目を覚ましてないのか？,那么，巴萨拉卡那家伙，还昏迷不醒吗？
53, ゼタ/泽塔, たぶんね。\nちょっと普通じゃなかったのよ……,大概吧。有点不太正常……
54, ベアトリクス/贝阿朵丽丝, うーん、何でだろうな。\n私の時は別になんともなかったぞ？,嗯，为什么呢？我那时候并没有什么异常啊？
55, ユーステス/尤斯缇斯, おそらく……,可能是因为……
56, ユーステス/尤斯缇斯, ベアトリクスの剣の形が変わった時と、\n今回の件は全く別物だ。,贝阿朵丽丝的剑变形那时候和这次的事完全是两回事。
57, ゼタ/泽塔, は？　そうなの？\nどういうこと？,诶？是吗？这是什么意思？
58, ユーステス/尤斯缇斯, はっきりとはわからない。,确切的说我也不清楚。
59, ベアトリクス/贝阿朵丽丝, なんだよそれー！,那又是什么意思啊！
60, ユーステス/尤斯缇斯, …………,…………
61, ゼタ/泽塔, ちょっと、ユーステス？,喂，尤斯缇斯？
62, ユーステス/尤斯缇斯, 俺達の武器は、それぞれ全く違う\nメカニズムを持っているはずだ。,我们的武器应该各自拥有完全不同的机制。
63, ベアトリクス/贝阿朵丽丝, そうなのか？,是这样吗？
