id,name,text,trans
0-chapter_name,,争乱の火種,
0-synopsis,,扇動者を倒し、戦いは一応の終結となった。バザラガは酒を飲みながら、自らの属する組織に敵対する『敵』について語り始める。今回は扇動者を倒せば解決したが、いずれ姿さえ持たない『敵』と戦うことになると言う。その時は、力を貸してくれるかと姬塔に尋ねるバザラガ。姬塔の返事を待たずに、バザラガは少し喋りすぎたと、酒瓶を傾けるのだった。,击败了扇动者，战斗基本上结束了。巴萨拉卡一边喝着酒，一边开始讲述属于他所在组织的敌对势力『敌』的情况。尽管这次通过击败扇动者解决了问题，但他们将不得不面对一个即使没有实体也会持续播种火种的『敌』。巴萨拉卡询问姬塔，在那个时候，她是否会帮助他。在等待姬塔的回答之前，巴萨拉卡倒下了酒瓶，觉得自己说得有点多了。
0,,扇動者を倒し、火種を撒く者は消えた。禍根を残す予感はあったが、戦いは一応の終結となった。,扇动者被打败了，播种火种的人也消失了。虽然有留下祸根的预感，但战斗基本上结束了。
1,,かくして一行は街を去った。その夜──,于是一行人离开了城镇。在那个夜晚──
2,バザラガ/巴萨拉卡,…………,…………
3,ビィ/碧,おっ、ツノ鎧！ひとりで何やってんだぁ？,哦，角之铠！你一个人在干嘛呢？
4,バザラガ/巴萨拉卡,……酒を飲んでいた。あの街の特産品らしい。,……喝酒。这似乎是那个城镇的特产。
5,バザラガ/巴萨拉卡,…………,…………
6,バザラガ/巴萨拉卡,姬塔、これは聞いた話だが。あの街と同じような事が、他の島でも起きているらしい。,姬塔，这是听说的事情。似乎在其他岛屿也发生了与那个城镇类似的事情
7,ビィ/碧,そりゃ一体どういうこったぁ？,这到底是怎么回事？
8,バザラガ/巴萨拉卡,我ら……組織の『敵』の手によるものだ。『敵』は方々で争いの火種を撒いている。,我们……是组织的『敌』所为。『敌』在各地播种着争斗的火种。
9,ビィ/碧,おいおい……その『敵』ってのは何がしてぇんだ？,喂喂……这个『敌』究竟是干什么的
10,バザラガ/巴萨拉卡,各地に扇動者を放つ、その目的は明らかではない。,各地放出扇动者，他们的目的不明确。
11,バザラガ/巴萨拉卡,危惧すべきは、各地で戦いが起きている事だ。目的さえ無い戦いが。,应该警惕的是，各地的战斗正在发生。而且这些战斗没有明确的目的。
12,バザラガ/巴萨拉卡,今はまだいい。元凶である扇動者、姿ある者を倒せば戦いが終わる。,现在还好。只要击败了扇动者，战斗就会结束。
13,バザラガ/巴萨拉卡,だが、扇動者によって引き起こされた戦いと戦いが複雑に絡み合い……,但是，由扇动者引发的战斗会与其他战斗交织在一起……
14,バザラガ/巴萨拉卡,この鎌、グロウノスでさえ断つ事ができなくなったなら。,就连这把镰刀，格洛诺斯也无法切断。
15,ビィ/碧,なんか小難しい話になってきやがったなぁ……,这话听着有点复杂……
16,バザラガ/巴萨拉卡,恐ろしいのは、その先だ。姬塔、お前ならどうする？扇動者を倒した所で戦いは終わらん。,可怕的是，这只是个开始。姬塔，你会怎么做？即使击败了扇动者，战斗也不会结束。
17,バザラガ/巴萨拉卡,武器も言葉も通じない、姿さえ持たない敵と戦う事になるのだ。,我们将面对武器和言语都无法击败、甚至没有实体的敌人。
18,バザラガ/巴萨拉卡,俺達、組織の『敵』は……いずれ存在さえもしなくなる。,我们，组织的『敌』……最终会消失得无影无踪。
19,バザラガ/巴萨拉卡,だから止めねばならんのだ。『敵』を。そのために……力を貸してはくれないだろうか。,所以我们必须阻止他们。为了……能帮忙吗？
20,バザラガ/巴萨拉卡,……いや、忘れてくれ。少し喋りすぎた。,……算了，忘了吧。说得有点太多了。
21,,終わりの見えない戦いの気配を断たねばならぬと語り、バザラガは酒瓶を傾ける。,谈及着战斗远未结束的迹象，巴萨拉卡一边说着，一边倒下了酒瓶。
22,,彼の言う『敵』によって引き起こされる戦いを思い、姬塔は拳を握りしめた。,想到他所说的『敌』引发的战斗，姬塔握紧了拳头。
info,,,scene_chr105_q3_s20
译者,,,祁琳w
