id,name,text,trans
0-chapter_name,,強く賢き者,
0-synopsis,,姬塔一行は、怪我をした兵士を領主の屋敷に送り届ける。兵士によれば、この騒乱は領主に反抗した市民が、傭兵を雇ったために起きたという。バザラガは兵士に、市民がなぜ反乱を起こしたのかを問うが、威圧感のせいで敵意を向けられてしまう。その時、傭兵達が魔物と共に攻めて来たとの情報がもたらされる。戦いに赴く姬塔に、バザラガは「何のために力を振るうのか、それを見失うな」と告げるのだった。,
1,傭兵１/佣兵１,なんなんだお前らは！？,什么情况！？
2,傭兵２/佣兵２,おい！\nひとまずずらかるぞ！,喂！暂时退下！
4,ビィ/碧,あっ！\n逃げるぞ！？,啊！要逃跑！？
5,バザラガ/巴萨拉卡,放っておけ。\n今はそれよりも、この場の\n怪我人をなんとかするべきだ。,别管它。现在重要的是，应该想办法帮助这里的伤员。
6,兵士１/士兵１,う、うぅ……,嗯，嗯……
7,ルリア/露莉亚,そうですね！\n……大丈夫ですかー？,是的！……您没事吧？
13,,怪我をしていた兵士達を助けた\n一行は、そのまま街の領主の\n屋敷までやって来る。,一行人帮助了受伤的士兵，然后直接来到了城主的府邸。
14,兵士１/士兵１,ありがとう。\n君達のおかげで助かったよ。,谢谢。多亏了你们才得救了。
15,ビィ/碧,それはいいけどよぉ、\nこの街は一体どうなってんだ？,这倒也罢了，但这个城市到底怎么了？
16,ルリア/露莉亚,ここへ来る途中で見た大通りも、\n人がほとんどいなくて\n寂しい感じでしたし……,我们来的时候，路上几乎没什么人，感觉很孤单……
17,兵士１/士兵１,うむ……少し前から、市民の一部が\n領主様に反抗して、街の治安が\n著しく悪化しているんだ。,是的……有一段时间以来，一些市民对城主进行反抗，城市的治安急剧恶化。
18,兵士１/士兵１,奴ら、最近では荒っぽい傭兵まで\n雇っていて……領主様の\n暗殺を企てているという話もある。,而且，他们甚至雇佣了粗暴的雇佣兵……还有传闻说他们企图暗杀城主。
19,ルリア/露莉亚,暗殺ですか！？\nた、大変ですぅ！,暗杀！？太、太可怕了！
20,ビィ/碧,さっきも魔物を使ったりしてたし\n傭兵達は随分と過激だなぁ。,刚才还召唤了魔物，这些雇佣兵太过激了。
