id,name,text,trans
0-chapter_name,,争乱の火種,
0-synopsis,,とある街を訪れた一行。どうやら街ではふたつの勢力が争っているらしく、バザラガ達は敵の雇った傭兵と勘違いされて、争いの渦に巻き込まれてしまう。民兵から一方的に攻撃を仕掛けられるバザラガは、仕方なく応戦するのだった。,一行人来到了某个城镇。看起来城镇内部存在着两股势力的争斗，而巴萨拉卡一行人被误认为是敌方雇佣的傭兵，被卷入了这场纷争之中。在民兵们一方面发动的攻击下，巴萨拉卡不得不应战。
0,,とある街を訪れた一行。\nどうやら街で争いが起きているらしく、\nその荒れように驚くのであった。,,一行人来到了某个城镇。看起来城镇内部存在着争斗，让人感到惊讶
1,ビィ/碧,うひゃ～……\nひっでぇな、こりゃ……,哇哇～……这，太可怕了啊……
2,バザラガ/巴萨拉卡,住民同士が争いを起こしているようだ。\n……やはり、これは……,看来是居民之间发生了争执。……果然，是这样……
3,青年,おいっ！\nお前ら！　『あっち側』の人間か！,喂！你们！是『那边』的人吗！
4,ビィ/碧,なんだなんだぁ！？\n兄ちゃん、ちょっと落ち着けって！,怎么了怎么了！？兄弟，冷静一点啊！
5,青年,見ない顔だが……余所者か？\nまさか奴ら傭兵を寄越したのか！？,虽然不认识你们……是外来者吗？难道他们雇佣了傭兵！？
6,バザラガ/巴萨拉卡,待て。\n俺達はただの通りすがりの騎空団だ。\nこの街の争いとは関係が無い。,我们只是路过的骑空团而已。和这个城镇的纷争无关。
7,青年,信じていいんだろうな……,能相信你们吗……
8,青年,……そうだな。\nこれだけ戦況が傾いていて\nわざわざ傭兵は雇わないか……,……嗯。这场战争如此激烈他们难道不会雇佣傭兵吗……
9,青年,本当にただの余所者か……\nすまない……,你们真的只是外来者吗……抱歉……
10,バザラガ/巴萨拉卡,この街で何が起きている？\nひどい有様だが。,这个城镇到底发生了什么？情况如此糟糕。
11,青年,ああ……\n少し前に、\nこの街がふたつの勢力に割れたんだ。,嗯……不久前，这个城镇分裂成了两股势力。
12,青年,それが、何かのきっかけで\n戦いを始めて、こんな事に……\n本当に些細なきっかけだったと聞くが。,然后，因为某些契机开始了战斗，导致了这样的情况……听说那只是一件微不足道的小事。
13,青年,戦況は俺達が圧倒的に不利なんだ……\nまだ死者が出ていないのが救いだが……,战局对我们非常不利……幸好还没有出现死亡……
14,バザラガ/巴萨拉卡,詳しく話を聞かせてもらおう。\n戦いのきっかけを……,请详细告诉我们。战斗是如何开始的……
16,民兵１,いたぞ！　残りは奴だけだな！,在那儿！就剩下那家伙了
17,民兵２,この戦いを終わらせる！\n行くぞ！,结束这场战斗！冲啊！
18,青年,くそっ！\n奴らめ……！,该死！这些家伙……！
19,ビィ/碧,んなっ！\nあいつら、兄ちゃんの事\n狙ってんのか！？,那个！他们，是在瞄准兄弟吗！？
20,民兵１,なんだ、そいつらは！\n怪しい連中を引き入れやがって！,这些家伙是什么人！竟然引进了可疑的家伙！
21,青年,待て！\nこの連中は無関係の余所者だ！,等等！这些人和我们无关！
22,民兵２,ハッ！　大方傭兵でも雇ったのだろう！\nまとめて叩きのめせば終わりだ！,哈！肯定是雇佣了傭兵！把他们一起打倒就行了！
23,バザラガ/巴萨拉卡,話し合いができる状況では\nないようだな。\n仕方あるまい。行くぞ、姬塔。,看来已经无法进行谈判了。没办法，上吧，姬塔。
info,,,scene_chr105_q1_s10
译者,,,祁琳w
